word,frequency
hasn't,11.0
security,11.0
theyve,11.0
therapist,11.0
ca,11.0
water,11.0
thi,11.0
tone,11.0
@jim_jordan,11.0
posts,11.0
sin,11.0
kiss,11.0
fellow,11.0
@thebrooktown,11.0
information,11.0
wondered,11.0
clip,11.0
passed,11.0
wall,11.0
patient,11.0
allah's,11.0
tomorrow,11.0
